"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"179","@asamjulian @jasian12345 Not saying it's bad, but has deals with Putin &amp; Kurdistan, supports #commoncore #gayrights  https://t.co/0Mf3SbyeJJ",FALSE,0,"asamjulian",2016-12-10 19:17:34,FALSE,"807651759694954496","807665579939266560","4289460455","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ctemp153",0,FALSE,FALSE,NA,NA
"180","machine head fuck yeah! #machinehead #metal #gayrights",FALSE,1,NA,2016-12-10 19:12:58,FALSE,NA,"807664420646191104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pissedpingu",0,FALSE,FALSE,NA,NA
"181","RT @HHHHuman: <ed><U+00A0><U+00BC><ed><U+00BC><U+008D> DO YOU KNOW Your 30 Human Rights?<U+263A> Learn Them in 4 Minutes! https://t.co/mmFSAppNX3 <U+2026> #WomensRights #LGBTQRights #GayRights<U+2026>",FALSE,0,NA,2016-12-10 18:51:57,FALSE,NA,"807659132232802304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nedunj179",1,TRUE,FALSE,NA,NA
"182","<ed><U+00A0><U+00BC><ed><U+00BC><U+008D> DO YOU KNOW Your 30 Human Rights?<U+263A> Learn Them in 4 Minutes! https://t.co/mmFSAppNX3 <U+2026> #WomensRights #LGBTQRights #GayRights #UnitedNations",FALSE,3,NA,2016-12-10 17:39:22,FALSE,NA,"807640867984973825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HHHHuman",1,FALSE,FALSE,NA,NA
"183","RT @HHHHuman: <ed><U+00A0><U+00BC><ed><U+00BC><U+008D> DO YOU KNOW Your 30 Human Rights? <U+263A> Learn Them in 4 Minutes! https://t.co/mmFSAp8d5v #LGBTQ #GayRights #HumanRightsDay2016<U+2026>",FALSE,0,NA,2016-12-10 17:25:41,FALSE,NA,"807637424222470144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","noladrlft",3,TRUE,FALSE,NA,NA
"184","RT @HHHHuman: <ed><U+00A0><U+00BC><ed><U+00BC><U+008D> DO YOU KNOW Your 30 Human Rights? <U+263A> Learn Them in 4 Minutes! https://t.co/mmFSAp8d5v #LGBTQ #GayRights #HumanRightsDay2016<U+2026>",FALSE,0,NA,2016-12-10 17:17:42,FALSE,NA,"807635412139184128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","firebreed03",3,TRUE,FALSE,NA,NA
"185","RT @HHHHuman: <ed><U+00A0><U+00BC><ed><U+00BC><U+008D> DO YOU KNOW Your 30 Human Rights? <U+263A> Learn Them in 4 Minutes! https://t.co/mmFSAp8d5v #LGBTQ #GayRights #HumanRightsDay2016<U+2026>",FALSE,0,NA,2016-12-10 17:14:25,FALSE,NA,"807634587144912896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abbykwoif",3,TRUE,FALSE,NA,NA
"186","<ed><U+00A0><U+00BC><ed><U+00BC><U+008D> DO YOU KNOW Your 30 Human Rights? <U+263A> Learn Them in 4 Minutes! https://t.co/mmFSAp8d5v #LGBTQ #GayRights #HumanRightsDay2016 #HumanRightsDay",FALSE,1,NA,2016-12-10 17:07:53,FALSE,NA,"807632941966880768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HHHHuman",3,FALSE,FALSE,NA,NA
"187","RT @gaydybunch: #stayproud #twomoms #loveislove #noh8 #lesbians #homosexual #equality #gay #gayrights #humanrights #writers #reality https:<U+2026>",FALSE,0,NA,2016-12-10 15:52:51,FALSE,NA,"807614061353504768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tibetanfemme22",1,TRUE,FALSE,NA,NA
"188","#stayproud #twomoms #loveislove #noh8 #lesbians #homosexual #equality #gay #gayrights #humanrights #writers #reality https://t.co/mkM20teTFn",FALSE,2,NA,2016-12-10 15:42:49,FALSE,NA,"807611537607294976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gaydybunch",1,FALSE,FALSE,NA,NA
"189","#Gayrights - How far have we come? Check out Episode 1 Series 2 of @RightsTrack this #humanrightsday https://t.co/dsJddZiv4F",FALSE,0,NA,2016-12-10 14:35:48,FALSE,NA,"807594668699582464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","openRights_oD",0,FALSE,FALSE,NA,NA
"190","Alkyl Nitrite Blog<U+2019>s Interpretation Can Make It Harmful or Helpful 
#LGBTQ #Stigma #GayRights<U+2026> https://t.co/kHHHCPI7Sm",FALSE,0,NA,2016-12-10 13:51:01,TRUE,NA,"807583402346082304",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","NitriteReform",0,FALSE,FALSE,NA,NA
"191","Well done #Malta <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> #lgbtq #gayrights Now what about safe #abortion access for women ? #HumanRightsDay<U+2026> https://t.co/NXPa1BEG0U",FALSE,0,NA,2016-12-10 13:27:13,TRUE,NA,"807577410447220736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vlada_pechenaya",0,FALSE,FALSE,NA,NA
"192","RT @Margit11: On #HumanRightsDay the @FT is doing a lovely PR spread about the UAE #womensrights #gayrights #gutterpress https://t.co/iRFDh<U+2026>",FALSE,0,NA,2016-12-10 12:01:03,FALSE,NA,"807555725845270528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JemimaOxford",2,TRUE,FALSE,NA,NA
"193","RT @Margit11: On #HumanRightsDay the @FT is doing a lovely PR spread about the UAE #womensrights #gayrights #gutterpress https://t.co/iRFDh<U+2026>",FALSE,0,NA,2016-12-10 11:55:25,FALSE,NA,"807554307625058305",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","weltec2",2,TRUE,FALSE,NA,NA
"194","On #HumanRightsDay the @FT is doing a lovely PR spread about the UAE #womensrights #gayrights #gutterpress https://t.co/iRFDhJJmcU",FALSE,0,NA,2016-12-10 11:47:56,FALSE,NA,"807552423527116800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Margit11",2,FALSE,FALSE,NA,NA
"195","The change we want to see in the world begins with us
<U+25B6>https://t.co/UiB6QjAHAj

#HumanRightsDay #Scialpi #Blasi<U+2026> https://t.co/uNSqs9yzj3",FALSE,46,NA,2016-12-10 11:04:49,TRUE,NA,"807541573512757248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ScialpiBlasi",38,FALSE,FALSE,NA,NA
"196","we proud of our country #taiwan #gayrights #humanrights https://t.co/bg6LvCGd7e",FALSE,0,NA,2016-12-10 10:52:50,FALSE,NA,"807538559196479488",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JungShanInk",0,FALSE,FALSE,NA,NA
"197","<U+2018>Let Freedom Ring! [Gay Pride EDM] [DJ Robby H] [2016]<U+2019> on #SoundCloud #np https://t.co/W0Wq5Qoneh #edm #glbtq #gay #gayrights #gaypride",FALSE,2,NA,2016-12-10 10:33:40,FALSE,NA,"807533736359174144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dragqueenremix",1,FALSE,FALSE,NA,NA
"198","RT @sexualtegrande: <U+26AA>Gay 
<U+26AA>Lesbian 
<U+26AA>Bisexual 
<U+26AB>Human 

Be proud of who you are!!

#gayrights #loveislove https://t.co/MeEWtYgASH",FALSE,0,NA,2016-12-10 08:49:36,FALSE,NA,"807507546663768064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sexualtegrande",5,TRUE,FALSE,NA,NA
"199","Photo Tip  -  10 Same Sex Marriage https://t.co/Tf93x3pjE5 #lovewins #gayrights #love https://t.co/jnU2rbp6a3",FALSE,0,NA,2016-12-10 05:37:41,FALSE,NA,"807459248171077632",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","MarketingPicz",0,FALSE,FALSE,NA,NA
"200","#gayrights #gay #animal #NoHate  https://t.co/xm3JXdD2ee https://t.co/7XX2O59cvf",FALSE,0,NA,2016-12-10 05:01:09,FALSE,NA,"807450057045774336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IndigoHawthorne",0,FALSE,FALSE,NA,NA
"201","I may have posted this years ago but it definitely needs another run : D
#HellYeah #Gay #Fabulous #LoveIsLove<U+2026> https://t.co/SfOsDQyzd1",FALSE,2,NA,2016-12-10 00:36:24,TRUE,NA,"807383430413418497",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AliceDeighSeear",0,FALSE,FALSE,NA,NA
"202","#Taiwan #MarriageEquality event is today 1-8pm in #Taipei near NTU MRT. Wear red!
#gayrights #lesbianrights #LGBTQ<U+2026> https://t.co/LFH3JP0twP",FALSE,4,NA,2016-12-10 00:31:25,TRUE,NA,"807382175481929728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rhymeswithmike",2,FALSE,FALSE,NA,NA
