"","element_id","sentence_id","word_count","sentiment"
"1",1,1,6,0
"2",2,1,11,0.201007563051842
"3",3,1,4,0.21875
"4",3,2,9,0.166666666666667
"5",4,1,6,0
"6",5,1,11,0.904534033733291
"7",6,1,12,-0.0360843918243516
"8",6,2,7,0
"9",7,1,16,0.1703125
"10",8,1,8,0
"11",8,2,2,0
"12",9,1,19,0.0286769667338202
"13",9,2,3,0.288675134594813
"14",10,1,9,0
"15",11,1,11,0.201007563051842
"16",12,1,11,0.201007563051842
"17",13,1,9,0.222222222222222
"18",14,1,10,0
"19",15,1,13,0.0693375245281536
"20",16,1,12,0.288675134594813
"21",17,1,17,0.119448795330394
"22",17,2,4,0.125
"23",17,3,1,0
"24",18,1,4,0
"25",19,1,4,0.25
"26",20,1,22,0.0319801074533416
"27",21,1,19,0.0286769667338202
"28",22,1,16,-0.125
"29",23,1,16,-0.125
"30",24,1,18,0.128009897620805
"31",25,1,9,0.0416666666666667
"32",26,1,5,0.307459346906221
"33",26,2,6,0
"34",27,1,16,0.25
"35",28,1,13,-0.121340667924269
"36",28,2,2,0
"37",29,1,14,-0.133630620956212
"38",30,1,9,0
"39",31,1,9,0
"40",32,1,8,0
"41",33,1,9,0
"42",34,1,12,0.974278579257494
"43",35,1,12,0.144337567297406
"44",36,1,9,0
"45",37,1,11,-0.0753778361444409
"46",38,1,13,0
"47",39,1,11,0
"48",40,1,8,0.0441941738241592
"49",41,1,9,0
"50",42,1,9,0
"51",43,1,9,0
"52",44,1,9,0
"53",45,1,9,0
"54",46,1,9,0
"55",47,1,9,0
"56",48,1,9,0
"57",49,1,9,0
"58",50,1,9,0
"59",51,1,9,0
"60",52,1,7,0
"61",53,1,7,0
"62",54,1,14,-0.0668153104781061
"63",55,1,3,0
"64",55,2,15,0.419573195839137
"65",56,1,14,0
"66",56,2,2,-0.441941738241592
"67",56,3,3,0
"68",57,1,4,0
"69",57,2,1,0
"70",58,1,11,-0.0753778361444409
"71",59,1,16,0.0390625
"72",60,1,20,-0.20843347933123
"73",60,2,1,0
"74",61,1,13,0.260015716980576
"75",62,1,8,0
"76",63,1,5,0
"77",64,1,13,0.312018860376691
"78",65,1,10,-0.0494105884401309
"79",65,2,4,0
"80",66,1,10,0
"81",66,2,6,-0.102062072615966
"82",67,1,14,-0.0668153104781061
"83",68,1,17,-0.0480018424551076
"84",69,1,12,0
"85",70,1,19,0.0430154501007303
"86",71,1,14,0.0250557414292898
"87",72,1,5,0
"88",73,1,15,0.0774596669241483
"89",74,1,6,0.0510310363079829
"90",74,2,18,-0.058925565098879
"91",75,1,7,0
"92",76,1,13,-0.0693375245281536
"93",77,1,13,0.10400628679223
"94",78,1,11,0.0942222951805511
"95",79,1,22,0.122590411904476
"96",80,1,6,0.395490531386867
"97",80,2,3,0
"98",81,1,13,-0.0462250163521024
"99",82,1,10,-0.0296463530640786
"100",82,2,4,0
"101",83,1,13,-0.0924500327042048
"102",84,1,6,0.395490531386867
"103",84,2,9,0
"104",85,1,8,-0.0110485434560398
"105",85,2,11,0.0565333771083307
"106",86,1,5,0.0838525491562421
"107",86,2,10,0.250346981429997
"108",87,1,17,-0.151584765647708
"109",88,1,13,0.173343811320384
"110",88,2,4,0
"111",89,1,10,0
"112",90,1,16,0.1875
"113",91,1,12,0.252590742770461
"114",92,1,12,0.252590742770461
"115",93,1,11,0.263822426505543
"116",94,1,16,-0.0390625
"117",94,2,1,0
"118",95,1,3,0
"119",95,2,12,0.0270632938682637
"120",96,1,14,0.0250557414292898
"121",96,2,3,0
"122",97,1,9,-0.180555555555556
"123",97,2,5,0
"124",98,1,10,0.513870119777362
"125",99,1,12,0.252590742770461
"126",100,1,12,0.252590742770461
"127",101,1,11,0.263822426505543
"128",102,1,10,0.197642353760524
"129",103,1,17,0.0227377148471562
"130",104,1,11,0
"131",105,1,11,-0.263822426505543
"132",106,1,15,0.164601792213815
"133",107,1,1,-0.125
"134",107,2,7,-0.0944911182523068
"135",107,3,10,0.0790569415042095
"136",108,1,11,-0.0753778361444409
"137",109,1,5,0.0838525491562421
"138",109,2,10,0.250346981429997
"139",110,1,1,0.166666666666667
"140",110,2,4,0.4
"141",110,3,7,0
"142",111,1,5,0.0838525491562421
"143",111,2,10,0.250346981429997
"144",112,1,5,0.0838525491562421
"145",112,2,10,0.250346981429997
"146",113,1,5,0.0838525491562421
"147",113,2,10,0.250346981429997
"148",114,1,3,0.108253175473055
"149",114,2,11,0.238696481124063
"150",115,1,5,0.223606797749979
"151",115,2,6,0
"152",116,1,13,0.450693909432999
"153",117,1,18,0.250433651670236
"154",118,1,1,0
"155",118,2,3,0
"156",118,3,3,0
"157",118,4,4,0
"158",119,1,17,0.151584765647708
"159",120,1,2,0.235702260395516
"160",120,2,5,0
"161",121,1,16,0.09375
"162",122,1,2,0.353553390593274
"163",122,2,4,0
"164",122,3,5,0
"165",123,1,11,-0.0753778361444409
"166",124,1,12,0
"167",125,1,10,0
"168",126,1,13,0
"169",127,1,15,0.0968245836551854
"170",128,1,15,0.0968245836551854
"171",129,1,13,0.10400628679223
"172",130,1,7,0
"173",130,2,11,-0.207289049397212
"174",130,3,3,0
"175",131,1,14,0.233853586673371
"176",132,1,15,-0.161374306091976
"177",133,1,9,0
"178",134,1,7,0
"179",134,2,3,0
"180",134,3,6,0
"181",135,1,2,-0.0883883476483184
"182",135,2,1,0
"183",135,3,3,0.21650635094611
"184",136,1,13,0.28890635220064
